loopid,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend
which,loadtime,loadtime,loadtime,loadtime,loadtime,loadtime,simtime,simtime,simtime,simtime,simtime,simtime
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sbml,,,,,,,,,,,,
D:\roadrunner\temp-biomodels\final\BIOMD0000000001/BIOMD0000000001_url.xml,0.02308545999999998,0.0039299632890143115,0.018058239999999958,0.004267825101032122,0.025386719999999308,0.0038872581264944436,0.02387813999999997,0.003925071888895787,0.018742059999999984,0.004263774834345698,0.026073499999995153,0.003895655725304855
D:\roadrunner\temp-biomodels\final\BIOMD0000000002/BIOMD0000000002_url.xml,0.024544540000000014,0.004808344400934705,0.01820242000000003,0.0043887908114878214,0.01864117999998669,0.0031995561265605304,0.025181519999999978,0.00483445562157727,0.018800780000000027,0.00440137686945805,0.019178219999980685,0.0031894689443735043
D:\roadrunner\temp-biomodels\final\BIOMD0000000003/BIOMD0000000003_url.xml,0.01036796000000002,0.003499329436192064,0.01021447999999987,0.0031116124641414273,0.01052022000000723,0.002750903115711558,0.012167219999999989,0.00360048358515911,0.011836040000000025,0.003125350092869626,0.01213993999998313,0.002803839218467195
D:\roadrunner\temp-biomodels\final\BIOMD0000000004/BIOMD0000000004_url.xml,0.01037878000000001,0.0028806258950096085,0.009907359999999876,0.0028571780637546155,0.010121379999994762,0.0026592278102843046,0.012367260000000014,0.0029218386271319193,0.011736360000000001,0.002887840532820538,0.012008099999992129,0.0027622920980583713
D:\roadrunner\temp-biomodels\final\BIOMD0000000005/BIOMD0000000005_url.xml,0.010688699999999995,0.0028573943620018795,0.011608459999999977,0.0031397072861971444,0.011986339999977247,0.0025648170671665684,0.011919659999999999,0.002860849820070938,0.01274318000000001,0.003166018268582707,0.013098139999989034,0.0026014473919462643
D:\roadrunner\temp-biomodels\final\BIOMD0000000006/BIOMD0000000006_url.xml,0.007431020000000022,0.0023359798194762063,0.007858079999999924,0.002695511078997811,0.008080260000003392,0.0021189965202962424,0.008169400000000016,0.002330416824304186,0.008667239999999942,0.0026455436233410725,0.008767900000012662,0.0021381687105976174
D:\roadrunner\temp-biomodels\final\BIOMD0000000007/BIOMD0000000007_url.xml,0.024932480000000014,0.005041253893328502,0.024242860000000022,0.003983501546755029,0.0232979600000351,0.003731404809586355,0.026603600000000015,0.005084862647604228,0.025790359999999967,0.003991307417751577,0.024800560000012028,0.0037664439957383585
